year,month,iraq,barack obama,afghanistan,new york,california,gop,george w bush,wall street,john mccain,supreme court,iran,china,mitt romney,republican party,texas,hillary clinton,israel,middle east,florida,tea party,europe,bill clinton,medicare,sarah palin,washington post,christian,democratic party,russia,pakistan,ohio,vietnam,british,ronald reagan,massachusetts,social security,chicago,arizona,new york city,d c ,reagan,pentagon,virginia,jewish,european,fox news,world war ii,iowa,syria,pennsylvania
2008,4,356,305,61,266,84,41,1,35,227,50,152,95,10,37,75,240,143,66,61,0,66,105,11,0,40,76,91,21,47,53,79,39,20,17,19,73,31,23,21,55,37,54,44,32,42,33,40,31,214
2008,5,411,280,107,245,149,68,0,29,253,102,227,72,21,50,78,223,283,98,99,0,96,75,7,1,61,117,106,37,60,87,63,50,30,38,13,57,46,13,28,80,60,117,72,51,40,45,42,36,97
2008,6,406,346,83,250,78,72,4,34,274,128,194,64,16,42,65,167,174,78,90,1,136,80,5,0,45,104,106,37,45,56,106,40,30,19,16,61,35,20,29,84,63,57,64,81,44,31,43,26,50
2008,7,444,368,142,282,76,81,2,56,329,56,240,91,14,40,64,77,224,112,61,2,201,57,39,0,62,113,43,49,97,55,99,66,36,26,31,75,39,18,19,75,67,41,75,96,35,25,24,29,31
2008,8,388,433,108,258,83,87,2,60,442,66,147,108,21,60,56,162,131,72,63,0,132,116,15,59,48,142,123,206,76,57,87,44,41,25,18,84,55,23,26,90,30,85,50,58,42,37,34,25,74
2008,9,487,446,166,302,100,204,5,203,658,91,192,86,21,136,73,104,167,85,88,1,123,82,22,592,83,208,60,202,146,107,78,46,59,18,38,91,65,33,40,143,37,60,79,56,40,28,37,37,61
2008,10,435,633,156,385,175,175,1,218,665,152,173,64,11,159,84,78,151,98,208,1,124,63,36,533,89,231,82,124,105,189,119,44,82,35,58,126,103,36,40,190,35,151,93,67,79,57,50,42,102
2008,11,327,622,129,299,310,84,4,113,249,113,134,80,12,91,69,98,157,81,167,1,149,86,19,194,36,129,99,75,93,111,94,57,65,38,28,137,77,28,30,140,34,117,85,69,43,29,54,22,103
2008,12,273,318,108,355,152,50,0,112,70,75,98,59,8,37,44,105,145,55,42,1,83,67,16,65,48,112,39,45,85,46,44,41,30,26,10,109,29,40,23,73,54,38,41,35,38,42,34,17,28
2009,1,268,421,128,311,126,58,0,102,56,79,98,56,5,37,50,82,238,122,46,0,106,69,24,44,53,112,51,42,61,52,84,40,31,27,24,102,35,36,50,88,32,41,70,60,22,31,28,15,40
2009,2,131,166,79,158,106,94,2,119,59,30,34,28,4,58,40,37,53,27,39,3,60,32,17,39,39,35,22,30,37,19,24,22,38,14,23,52,35,17,20,93,27,22,25,26,24,28,13,5,21
2009,3,165,161,93,233,106,59,0,128,44,41,73,47,6,57,48,44,120,54,36,8,84,36,20,37,53,40,30,35,50,18,36,34,26,15,18,39,28,29,21,71,26,35,37,37,29,29,13,16,21
2009,4,156,165,105,229,126,75,2,83,43,84,58,36,2,69,79,26,59,40,45,31,103,36,21,41,44,94,36,28,62,23,39,30,31,29,10,66,50,30,32,84,29,30,38,51,54,24,41,7,41
2009,5,206,151,104,226,179,85,0,55,41,206,57,39,7,73,40,28,94,39,46,2,61,36,13,28,42,113,50,21,66,14,51,35,20,19,16,31,27,27,29,55,49,48,47,28,22,36,38,3,48
2009,6,158,128,100,215,135,34,0,47,38,129,264,40,5,36,39,28,127,67,31,4,98,36,37,35,40,112,32,23,46,18,32,38,30,19,10,44,17,21,24,75,38,58,54,44,33,17,15,11,26
2009,7,126,145,75,260,178,78,2,95,49,124,89,62,8,52,57,32,76,31,37,2,88,39,72,97,69,81,30,37,39,33,86,45,32,49,22,50,26,25,36,79,42,46,39,53,34,25,20,8,35
2009,8,140,164,72,242,136,88,0,84,41,79,53,46,9,51,50,34,73,25,51,19,71,73,169,69,70,82,57,31,49,36,80,61,38,57,48,64,40,22,22,94,31,48,60,39,46,40,27,9,30
2009,9,191,182,153,277,132,99,0,106,47,65,84,61,7,63,73,38,103,41,52,19,131,40,158,52,54,103,56,46,74,36,85,43,47,48,17,59,23,39,36,105,43,34,45,78,67,40,25,5,28
2009,10,144,155,164,210,95,62,1,101,31,55,99,47,5,46,51,12,110,45,44,6,103,25,65,34,46,86,44,38,72,18,78,31,21,18,22,96,31,25,35,63,40,36,34,46,21,32,19,5,24
2009,11,176,130,197,312,121,64,0,108,36,46,42,50,8,59,58,31,98,46,34,28,76,27,65,81,47,66,54,36,75,20,80,43,26,19,24,51,35,46,29,56,55,95,49,39,40,43,16,6,40
2009,12,164,154,232,224,95,49,1,132,39,47,78,48,3,49,43,34,40,41,23,60,66,20,116,50,52,89,45,46,123,17,58,40,27,27,25,54,29,18,19,61,38,42,31,40,24,14,11,9,28
2010,1,160,200,160,300,154,80,1,220,52,152,100,68,19,71,56,43,84,56,41,90,87,59,79,55,66,84,78,26,68,33,47,43,36,237,46,56,24,29,47,89,46,66,45,42,33,31,23,11,39
2010,2,122,135,104,246,139,85,0,146,41,82,76,48,20,54,65,18,66,25,33,129,95,38,85,88,48,62,43,30,46,27,40,36,40,82,52,68,15,17,33,100,44,38,25,50,46,22,16,5,33
2010,3,179,158,119,316,173,108,1,128,45,118,88,83,14,68,125,33,156,49,60,135,110,39,111,64,60,90,69,39,30,30,52,56,33,58,49,61,36,39,43,80,48,56,50,58,44,27,22,8,28
2010,4,107,107,101,218,165,74,0,207,55,123,66,51,12,64,58,17,78,34,67,129,86,36,39,62,55,86,45,60,21,34,50,36,36,47,29,49,158,31,52,80,46,120,46,49,38,37,27,3,25
2010,5,119,122,124,275,133,103,2,168,54,147,105,60,8,61,91,24,102,30,65,119,121,32,50,77,69,115,53,44,77,38,55,94,29,28,55,47,181,35,40,70,44,59,50,62,44,38,17,3,76
2010,6,132,132,186,204,163,75,2,116,40,122,82,53,9,48,68,24,191,48,64,76,95,38,50,53,45,72,44,37,75,23,65,63,27,35,38,44,88,24,38,70,57,33,60,48,28,39,20,12,44
2010,7,176,109,219,257,121,83,2,143,37,87,76,60,3,56,66,21,93,35,50,115,92,42,51,66,66,128,32,43,116,16,79,55,42,23,59,46,122,34,29,92,56,60,44,42,54,37,19,7,38
2010,8,182,160,166,450,197,120,2,126,52,109,93,60,10,76,65,38,115,66,72,142,109,37,49,132,61,253,44,40,89,36,61,39,42,27,81,55,100,79,48,97,66,56,126,47,78,46,29,10,52
2010,9,206,127,158,358,188,141,3,174,32,68,93,68,6,89,49,36,140,69,98,218,102,60,69,97,57,189,64,30,62,38,64,48,39,36,103,61,65,42,54,86,47,37,72,53,58,34,25,4,49
2010,10,147,135,139,327,314,193,0,189,40,140,69,80,7,107,77,31,132,51,83,332,98,53,89,105,58,101,92,39,63,99,58,46,39,32,137,81,64,43,64,103,50,78,82,51,79,45,33,2,66
2010,11,144,148,142,247,198,172,3,183,36,97,72,70,12,97,58,39,140,44,69,257,84,55,94,87,46,84,90,62,58,49,74,50,43,31,129,48,54,28,43,106,51,46,60,40,58,42,36,1,51
2010,12,145,99,137,229,109,75,0,135,37,79,106,71,9,49,69,50,111,40,41,83,111,48,74,48,55,62,51,79,64,27,74,49,41,28,127,34,38,30,49,87,64,57,37,56,43,42,25,10,25
2011,1,116,106,104,241,107,89,1,130,28,108,43,94,15,49,38,27,72,49,32,168,82,48,76,113,47,52,35,31,56,18,64,32,42,35,106,59,184,40,38,91,37,57,25,39,38,33,15,4,26
2011,2,115,85,98,196,121,91,0,115,18,76,127,69,7,36,52,29,174,146,37,124,96,26,63,28,40,59,22,34,46,41,45,48,62,27,86,52,40,19,43,156,49,37,37,43,26,37,15,16,23
2011,3,146,67,106,237,105,107,1,119,26,94,64,71,10,43,66,27,79,107,57,90,83,27,75,36,39,76,25,23,42,79,42,56,31,28,85,24,79,25,45,82,49,39,30,38,36,44,39,16,29
2011,4,90,80,77,139,54,98,0,96,16,65,38,65,17,51,35,21,44,59,37,85,78,19,144,26,35,41,21,19,26,28,33,34,26,12,119,19,44,17,29,74,38,27,18,38,20,26,19,19,21
2011,5,126,102,138,217,120,115,0,93,23,65,49,77,26,44,51,23,207,96,42,82,72,31,131,38,35,63,27,32,139,20,38,36,30,25,67,32,41,24,30,63,39,34,66,34,29,27,30,25,31
2011,6,86,60,97,256,94,102,0,91,38,82,36,51,49,44,43,28,91,52,40,89,89,33,100,49,24,73,23,24,59,31,38,27,26,39,68,52,47,26,39,51,35,45,49,49,23,24,33,17,30
2011,7,82,64,77,193,68,92,0,104,20,51,30,41,22,70,55,14,73,28,44,138,87,23,158,27,30,77,27,16,40,30,26,27,38,29,151,27,35,18,37,87,33,24,28,47,25,28,16,12,22
2011,8,102,98,84,249,69,89,0,107,18,59,37,56,37,56,146,23,56,29,44,166,127,31,89,24,32,113,37,24,23,32,40,37,57,31,110,39,25,27,35,110,34,40,30,67,30,35,86,18,25
2011,9,128,134,109,324,83,121,1,147,21,74,66,77,58,57,154,23,157,78,60,150,115,40,81,34,45,84,25,24,48,27,52,29,51,43,107,45,38,53,50,119,57,38,69,57,35,35,25,20,49
2011,10,148,102,85,362,103,132,1,584,31,91,90,84,111,56,113,23,79,50,49,188,123,37,72,26,42,122,42,27,46,46,53,45,39,45,80,60,38,59,56,91,38,34,45,54,37,30,55,20,29
2011,11,148,101,90,296,123,130,1,358,18,83,115,94,94,52,94,17,124,59,46,113,163,39,91,20,43,104,36,40,47,64,49,44,35,50,85,53,39,49,64,83,43,48,42,79,30,42,64,23,31
2011,12,175,98,64,240,119,153,1,227,40,77,114,75,130,70,97,37,116,75,61,100,111,36,68,23,40,146,29,30,27,41,38,35,40,46,48,38,34,36,54,85,39,25,54,58,42,28,141,21,20
2012,1,129,163,80,239,116,219,1,198,60,149,167,111,330,106,113,35,119,62,147,113,173,41,53,30,42,146,32,39,51,39,46,32,53,108,66,43,46,30,45,123,39,33,45,100,47,32,186,23,50
2012,2,112,115,72,244,154,172,2,128,40,153,134,67,219,103,59,22,121,45,121,64,124,27,46,24,41,184,49,30,49,65,47,36,43,85,43,42,84,30,39,96,35,66,63,72,31,35,60,32,46
2012,3,161,149,105,322,157,170,3,150,51,162,236,86,213,99,98,42,242,84,124,84,136,36,93,38,53,160,37,66,50,64,51,32,42,68,47,53,70,50,72,95,37,77,99,67,33,32,40,46,55
2012,4,85,110,57,261,103,104,1,111,30,194,89,61,172,66,69,27,102,41,102,57,112,36,72,25,41,74,35,42,41,30,48,43,33,55,50,45,76,36,53,81,34,50,57,65,29,28,27,28,50
2012,5,127,137,120,310,131,103,0,152,30,122,112,77,210,66,65,34,92,44,77,70,176,47,52,23,57,88,47,41,62,53,83,39,28,62,59,76,53,48,42,63,37,71,46,85,33,59,30,30,50
2012,6,88,123,73,263,133,119,1,129,32,245,100,66,176,71,68,20,84,49,100,46,151,52,63,9,46,84,45,50,52,50,39,26,33,71,50,46,79,39,49,71,26,54,45,78,19,32,22,58,27
2012,7,73,111,67,253,117,86,1,111,47,191,78,65,221,52,100,25,101,39,97,53,138,32,71,18,50,89,34,34,30,53,58,65,32,73,71,47,66,43,46,83,45,71,61,61,27,41,19,23,54
2012,8,105,167,81,256,112,215,2,136,61,109,82,73,410,143,109,19,117,53,112,143,129,46,232,67,51,181,39,36,38,71,46,47,63,87,157,52,55,32,40,146,22,86,42,53,42,42,26,36,63
2012,9,159,245,114,297,151,193,2,174,63,102,140,95,461,136,88,43,191,116,152,86,128,118,153,29,49,155,75,39,58,101,53,39,73,109,120,81,34,40,49,138,38,72,88,57,54,31,42,46,66
2012,10,192,295,164,342,163,153,1,167,43,187,208,174,594,115,93,39,188,119,144,80,142,87,196,25,65,135,60,69,89,160,80,52,64,185,130,85,58,41,43,152,37,127,58,55,52,49,68,82,87
2012,11,150,313,132,382,174,213,4,186,49,194,115,110,380,169,100,42,156,79,181,142,132,88,178,27,72,186,68,37,43,207,73,42,50,128,188,66,66,60,56,110,44,124,63,69,71,38,53,32,111
2012,12,79,111,68,272,117,104,0,97,21,111,60,48,77,81,80,23,108,42,55,76,92,32,118,8,57,110,33,24,27,54,56,45,28,47,154,67,29,51,56,68,39,74,64,42,44,33,23,29,41
2013,1,139,165,119,299,129,101,2,130,27,138,101,66,61,66,80,32,153,41,58,55,138,47,114,13,51,117,30,38,66,32,106,53,42,41,129,67,38,53,84,100,55,72,94,64,26,44,25,25,37
2013,2,100,108,77,251,132,95,1,78,36,101,85,58,44,64,107,35,126,53,95,62,109,39,76,11,41,88,28,31,45,39,59,40,35,29,76,71,39,32,47,84,49,72,68,57,22,32,12,25,31
2013,3,214,81,85,226,146,116,1,103,35,168,115,63,44,74,86,30,163,65,100,61,115,33,107,17,58,127,32,35,39,36,78,41,24,40,98,48,38,33,66,59,43,41,86,59,26,38,15,41,24
2013,4,119,70,84,314,132,61,1,80,27,122,87,45,29,44,101,18,111,48,57,34,129,37,77,6,38,119,25,59,42,26,50,62,26,51,91,45,44,58,50,76,39,38,57,68,27,36,18,47,20
2013,5,123,77,96,237,120,99,1,85,28,81,96,64,33,47,85,44,62,59,53,67,123,26,45,14,48,109,17,42,54,29,49,58,28,32,59,44,22,36,63,72,52,51,23,67,34,40,20,51,30
2013,6,88,82,49,266,178,77,0,65,20,196,78,103,29,38,166,20,79,49,54,27,127,31,17,10,54,74,20,77,37,22,53,42,24,33,30,52,34,41,44,57,39,58,52,67,29,26,12,50,34
2013,7,68,74,55,284,160,76,1,101,28,172,60,68,21,53,151,22,65,48,86,36,123,26,39,8,33,90,27,73,33,45,52,43,21,24,28,44,41,52,43,53,42,55,44,63,21,29,29,35,37
2013,8,97,77,67,281,118,78,0,77,30,120,96,39,18,49,72,27,90,56,59,47,64,29,27,6,44,48,23,96,27,26,69,36,28,28,37,31,31,55,59,65,34,49,33,31,24,35,18,84,34
2013,9,192,91,80,320,99,82,1,90,35,59,165,65,22,52,72,26,113,129,42,86,121,28,52,6,43,66,22,138,30,22,65,67,30,37,45,37,19,51,44,78,30,57,31,66,23,37,11,329,19
2013,10,71,98,47,287,123,189,0,118,31,106,94,76,39,107,127,26,73,50,54,249,123,35,106,25,68,104,35,39,38,34,41,39,42,44,103,56,28,34,77,82,41,45,28,68,33,54,19,57,33
2013,11,79,84,57,232,102,80,0,77,15,79,128,52,23,45,86,31,98,48,45,89,91,31,85,16,38,76,31,47,36,35,77,33,29,39,49,24,14,46,45,60,28,68,33,54,21,37,17,44,37
2013,12,67,44,39,235,103,44,2,80,5,67,111,69,19,27,53,23,88,44,46,40,84,22,60,13,49,87,23,38,23,25,41,33,21,30,62,39,16,43,48,54,19,31,43,45,28,22,17,34,20
2014,1,96,62,81,283,106,90,0,93,18,76,116,83,25,44,65,35,122,61,46,55,126,24,47,7,51,53,33,60,37,35,72,29,29,22,32,43,9,51,43,67,41,60,54,77,25,32,22,72,25
2014,2,81,66,81,241,107,69,1,73,14,66,116,77,25,32,64,29,143,61,66,36,185,31,32,6,38,77,28,138,42,28,59,51,22,30,43,40,63,40,38,47,33,34,59,104,16,27,18,62,29
2014,3,101,81,91,259,134,74,0,67,28,103,160,95,21,38,91,34,159,68,58,49,346,29,43,12,43,90,37,400,34,24,66,51,26,32,39,33,52,43,46,69,32,48,48,194,25,59,8,112,26
2014,4,76,68,79,238,98,54,0,60,11,134,104,94,14,40,84,22,181,57,43,35,231,19,41,9,40,70,25,164,50,27,43,31,26,29,49,23,20,37,48,40,27,42,99,125,20,33,8,64,20
2014,5,104,71,85,267,121,53,0,57,15,100,76,134,20,42,51,47,148,50,48,41,223,26,15,10,39,115,28,125,41,43,89,32,24,23,27,45,23,40,36,60,25,44,78,120,24,43,10,66,26
2014,6,371,85,121,258,146,70,1,74,36,115,180,85,20,57,62,46,112,135,44,68,146,24,23,13,39,69,27,81,67,36,93,57,41,33,28,38,24,36,49,86,41,61,46,75,30,51,16,146,21
2014,7,206,63,77,213,144,89,0,63,19,181,133,94,24,44,108,37,439,118,52,47,210,38,26,16,50,131,28,153,37,28,75,61,35,39,21,41,48,29,48,68,24,57,104,100,29,37,17,110,30
2014,8,224,79,58,223,84,64,4,62,16,70,99,61,17,35,66,31,306,130,40,41,185,20,23,6,61,78,29,126,37,36,66,70,24,31,35,47,19,30,30,53,30,32,65,90,21,36,19,116,24
2014,9,338,93,108,288,121,51,1,73,33,81,117,103,17,31,64,32,155,159,39,34,218,28,25,3,33,112,34,142,67,26,62,79,23,20,18,30,24,56,25,53,40,32,44,112,23,39,18,243,33
2014,10,117,35,32,112,48,35,0,34,7,52,50,44,10,18,45,15,59,62,23,9,98,10,14,6,23,54,16,34,29,15,29,30,4,15,15,8,16,22,20,19,17,14,22,52,15,17,18,72,12
