,time,iraq,barack obama,afghanistan,new york,california,gop,george w bush,wall street,john mccain,supreme court,iran,china,mitt romney,republican party,texas,hillary clinton,israel,middle east,florida,tea party,europe,bill clinton,medicare,sarah palin,washington post,christian,democratic party,russia,pakistan,ohio,vietnam,british,ronald reagan,massachusetts,social security,chicago,arizona,new york city,d c ,reagan,pentagon,virginia,jewish,european,fox news,world war ii,iowa,syria,pennsylvania
17,1/17/2007,20,1,1,11,1,2,0,0,2,3,7,2,0,2,2,1,2,4,0,0,2,0,0,0,3,0,5,3,0,0,6,0,2,0,0,1,0,1,0,2,2,0,0,0,2,0,2,2,0
18,1/18/2007,12,1,2,1,0,0,0,0,1,1,4,0,0,1,2,0,0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0
19,1/19/2007,10,1,1,3,2,2,0,0,0,0,4,1,0,1,4,3,2,4,0,0,1,1,0,0,0,1,2,1,0,0,4,0,0,0,1,1,0,1,0,2,1,1,1,0,3,1,0,1,0
20,1/20/2007,9,3,1,0,1,1,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
21,1/21/2007,8,4,3,4,2,2,0,0,0,2,1,2,0,1,3,5,4,2,0,0,0,0,1,0,2,3,3,1,0,1,1,0,0,2,0,1,0,0,0,1,0,2,1,0,1,0,1,0,1
22,1/22/2007,21,2,0,6,5,1,0,2,0,0,4,0,0,0,2,2,0,1,0,0,1,1,0,0,1,0,1,1,0,2,2,1,2,0,2,1,0,1,3,4,0,3,0,1,1,0,1,0,0
23,1/23/2007,19,3,2,6,3,3,0,0,1,0,13,0,0,1,1,5,1,6,0,0,5,1,0,0,3,2,3,0,0,0,3,0,0,2,1,1,0,0,0,1,3,1,0,2,1,0,0,2,0
24,1/24/2007,31,4,1,8,1,0,0,1,3,1,5,1,1,0,0,5,2,9,0,0,2,2,2,0,0,3,5,0,0,0,4,1,0,0,0,2,0,2,1,3,0,7,0,2,0,1,0,2,0
25,1/25/2007,16,4,3,6,3,0,0,1,1,1,2,0,1,0,0,6,8,2,0,0,2,2,0,0,1,4,2,0,2,0,3,0,0,0,0,1,0,0,0,0,1,2,2,1,3,1,1,0,0
26,1/26/2007,3,1,1,3,2,2,0,0,0,0,3,0,0,0,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
27,1/27/2007,3,0,0,2,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1/28/2007,8,0,0,2,0,1,0,0,1,1,0,3,0,2,1,0,0,0,1,0,0,1,0,0,1,1,0,2,0,0,4,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0
29,1/29/2007,13,4,1,5,2,0,0,0,2,1,3,1,0,0,1,3,1,0,1,0,2,2,0,0,4,4,1,0,0,0,2,2,1,0,0,4,0,0,0,1,0,1,0,1,0,0,3,0,1
30,1/30/2007,14,0,1,4,0,0,0,1,1,1,1,1,0,0,3,1,0,2,0,0,0,1,0,0,2,4,0,0,0,0,2,1,0,0,1,0,0,0,2,0,2,1,0,0,0,1,0,3,0
31,2/1/2007,8,2,1,5,2,2,0,0,1,0,6,0,2,0,3,1,0,2,0,0,0,0,4,0,2,0,2,0,0,0,4,2,0,2,0,0,2,0,0,2,0,1,0,0,2,0,0,1,0
32,2/2/2007,17,6,1,7,1,1,0,0,0,3,9,2,2,1,0,3,4,2,0,0,3,1,3,0,1,0,2,0,1,1,2,2,0,1,0,2,0,0,0,0,0,0,0,3,0,1,3,0,1
33,2/3/2007,6,0,0,3,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,0,1,1,0,0
34,2/4/2007,3,1,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2,0,1
35,2/5/2007,16,2,0,3,1,2,0,3,2,1,3,1,0,1,1,1,3,2,0,0,0,1,0,0,2,0,1,1,0,0,3,0,1,1,0,0,1,0,0,1,0,2,0,0,1,0,1,1,0
36,2/6/2007,13,1,0,8,0,1,0,0,1,4,2,0,0,1,3,0,5,3,1,0,0,2,0,0,2,1,2,0,0,0,3,0,2,0,0,0,0,1,0,4,1,0,7,0,2,0,2,0,2
37,2/7/2007,12,2,1,5,4,0,0,0,1,0,2,1,1,2,4,4,0,2,2,0,1,1,1,0,4,1,1,0,0,0,0,2,2,1,0,2,0,0,4,4,0,1,0,0,2,0,1,0,0
38,2/8/2007,10,1,1,6,3,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
39,2/9/2007,13,1,1,7,0,2,0,0,0,1,6,4,0,0,0,2,2,1,0,0,1,1,0,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,1,2,0,3,0,0,0,1,0,1,0
40,2/10/2007,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2/11/2007,7,0,0,3,0,0,0,0,0,0,5,0,0,0,1,0,3,0,1,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0
42,2/12/2007,18,4,1,9,3,1,0,2,2,3,5,0,1,0,3,3,1,0,1,0,0,1,0,0,2,12,1,0,0,0,1,0,0,1,0,0,0,0,2,0,3,1,3,0,0,1,0,0,1
43,2/13/2007,18,4,1,10,5,2,0,0,1,2,11,0,0,0,2,1,2,3,4,0,1,1,0,0,2,3,2,1,0,2,3,1,3,0,0,2,2,2,1,3,2,0,0,0,1,1,0,0,1
44,2/14/2007,20,2,4,5,1,0,0,1,2,3,10,1,1,0,2,2,4,3,0,0,0,0,0,0,2,1,0,3,1,0,2,3,0,1,0,2,0,0,0,1,2,0,2,0,1,1,1,1,0
45,2/15/2007,6,2,0,4,5,1,0,1,0,0,4,1,0,1,1,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,2,0,0,0,1,0,0,0,0,0,5,0,0
46,2/16/2007,12,2,3,2,2,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,2,1,2,0,1,7,1,0,1,0,5,1,1,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,2
47,2/17/2007,3,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
48,2/18/2007,8,1,1,4,2,1,0,0,2,2,0,1,1,1,0,1,0,1,2,0,0,0,0,0,4,1,0,0,0,0,1,1,1,1,0,1,0,0,1,2,1,0,0,0,2,0,0,0,2
49,2/19/2007,8,0,1,3,2,1,0,0,1,0,1,2,0,0,0,3,3,0,0,0,0,2,0,0,2,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,2,0,3,0,0
50,2/20/2007,10,1,1,9,2,0,0,1,2,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,2,6,0,1,0,0,0,4,0,0,0,0,1,0,1,2,4,2,0,0,0,0,0,0,1
51,2/21/2007,10,4,2,10,3,3,0,1,1,0,1,1,0,0,1,3,0,0,1,0,3,2,0,0,9,3,3,0,0,1,2,1,0,0,0,1,0,0,1,1,4,0,0,2,4,1,0,0,0
52,2/22/2007,15,3,3,4,0,2,0,2,2,2,4,1,1,1,2,1,0,1,2,0,2,1,0,0,1,6,3,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0
53,2/23/2007,11,1,3,4,0,1,0,0,2,0,6,3,1,1,2,0,3,3,0,0,4,1,0,0,3,3,1,2,0,0,1,0,1,0,0,0,0,0,1,2,1,0,1,1,2,0,1,1,1
54,2/24/2007,5,1,1,1,0,1,0,0,0,0,3,1,0,1,1,0,0,2,0,0,1,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
55,2/25/2007,7,6,0,5,1,0,0,0,2,0,0,1,0,0,0,4,2,1,1,0,0,1,0,0,0,2,1,0,0,0,8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
56,2/26/2007,12,2,1,7,3,1,0,1,1,0,13,2,1,0,0,1,2,4,2,0,0,1,0,0,2,0,1,0,1,1,1,2,1,0,1,0,0,0,0,1,4,2,0,0,0,0,2,0,0
57,2/27/2007,14,1,3,3,0,1,0,1,3,1,8,0,1,2,0,1,1,1,0,0,3,0,0,0,1,0,0,0,3,1,0,3,0,0,1,1,0,0,0,1,1,0,0,3,2,0,0,2,0
58,2/28/2007,9,0,1,4,3,0,0,2,1,1,2,1,1,0,4,1,1,2,0,0,2,2,0,0,3,4,0,1,2,0,3,2,0,1,0,2,0,0,2,0,0,0,0,2,3,1,0,1,0
59,3/1/2007,5,1,0,7,2,1,0,0,2,0,6,0,0,0,0,3,1,0,0,0,0,1,1,0,3,1,0,1,0,0,3,0,0,3,0,1,1,2,0,0,0,0,0,0,3,0,1,0,1
60,3/2/2007,5,3,1,2,1,1,0,0,2,0,3,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,4,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,2,1,0
61,3/3/2007,4,1,0,6,1,2,0,1,0,0,4,1,2,0,2,1,1,0,1,0,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,2,0,3,1,0,0,0
62,3/4/2007,6,3,0,4,2,2,0,0,1,0,1,0,0,4,0,2,0,1,0,0,0,1,0,0,2,2,0,0,0,0,1,2,1,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,3
63,3/5/2007,17,2,3,9,3,0,0,1,1,1,1,1,0,0,1,3,3,2,0,0,1,0,0,0,3,2,6,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,4,1,2,0,1,0,0
64,3/6/2007,12,2,2,10,3,0,0,1,2,0,4,0,2,2,1,2,2,6,0,0,1,2,1,0,3,2,3,0,2,1,2,0,0,0,0,1,0,0,2,0,0,1,2,0,7,0,1,0,0
65,3/7/2007,9,0,3,6,2,0,0,1,0,2,6,1,1,1,1,1,11,3,0,0,2,1,1,0,1,1,1,0,3,0,4,0,0,0,1,1,0,0,0,0,3,1,4,1,1,0,0,0,0
66,3/8/2007,12,2,1,13,2,2,0,1,1,0,2,2,1,0,0,0,0,3,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,0,1,0,1
67,3/9/2007,10,0,2,10,2,3,0,0,0,2,2,0,0,0,2,1,3,0,1,0,4,2,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,2,0,1,1,0,0,1,1,1,2,1,0
68,3/10/2007,4,0,0,3,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0
69,3/11/2007,8,2,1,0,1,1,0,0,2,1,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,3/12/2007,15,3,1,4,3,2,0,1,2,1,2,2,1,4,1,2,1,0,1,1,5,2,0,0,1,3,1,0,3,0,1,2,0,0,1,0,0,0,0,2,2,0,2,4,4,0,1,0,1
71,3/13/2007,16,1,1,12,1,0,0,0,0,0,6,1,0,1,0,0,6,7,4,0,0,0,0,0,0,1,4,0,1,0,3,0,0,0,0,0,0,2,0,0,2,1,2,0,0,0,1,0,0
72,3/14/2007,10,0,1,7,2,1,0,0,2,1,1,0,1,3,0,1,4,0,1,0,2,1,0,0,2,3,3,0,1,1,0,1,0,2,0,1,0,0,1,2,0,0,2,0,0,0,0,0,1
73,3/15/2007,9,2,0,9,2,1,0,1,1,5,4,0,0,1,1,4,1,1,1,0,0,0,0,0,1,0,2,0,4,0,0,2,0,0,0,3,0,1,2,1,1,1,0,0,0,0,0,0,0
74,3/16/2007,7,1,0,4,0,2,0,0,0,0,2,1,0,0,3,1,2,1,1,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1
75,3/17/2007,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
76,3/18/2007,7,0,2,1,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,2,1,0,0,0,3,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0
77,3/19/2007,21,1,3,9,3,3,0,1,0,1,2,0,0,0,0,0,4,1,0,0,0,2,0,0,2,4,0,0,0,0,3,1,0,0,0,0,0,1,0,0,4,0,2,0,3,0,0,1,0
78,3/20/2007,12,0,2,6,3,3,0,1,0,2,1,5,0,0,3,1,1,1,0,0,3,0,0,0,1,1,1,0,0,2,7,3,0,2,0,1,2,1,1,1,2,1,2,1,1,0,0,0,1
79,3/21/2007,9,2,0,5,7,0,0,0,0,0,1,0,0,1,1,3,1,1,0,0,0,0,0,0,1,0,0,0,2,0,6,0,1,0,0,1,0,2,1,1,1,0,0,0,1,0,2,0,1
80,3/22/2007,6,1,0,6,5,1,0,0,0,2,1,0,0,0,0,1,0,2,4,0,1,0,1,0,2,0,1,1,0,0,0,1,0,0,0,1,2,1,2,1,0,0,0,1,0,0,0,1,0
81,3/23/2007,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
82,3/24/2007,3,0,0,3,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
83,3/25/2007,8,2,0,2,1,1,0,0,0,0,0,0,0,1,0,1,2,2,2,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,2,0,2,1,1,1,0,5,0,0,0,0,0,0
84,3/26/2007,11,4,0,13,3,1,0,0,1,1,7,0,1,0,2,3,0,2,0,0,0,0,2,0,1,1,1,1,0,1,8,3,1,1,1,0,0,1,0,2,1,1,0,0,2,1,2,1,0
85,3/27/2007,10,0,1,6,2,1,0,0,0,0,9,0,1,0,1,1,1,3,1,0,1,0,0,0,1,0,0,1,1,0,4,4,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1
86,3/28/2007,9,0,4,5,3,2,0,2,0,1,5,0,1,2,0,0,3,1,0,0,4,0,1,0,3,3,1,0,0,0,3,3,0,0,0,1,1,0,0,0,3,0,4,1,0,1,0,1,0
87,3/29/2007,16,2,0,2,6,1,0,0,1,0,4,0,0,1,1,2,4,1,1,0,1,1,1,0,1,0,2,1,0,0,0,2,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0
88,3/30/2007,5,1,1,5,5,0,0,0,0,2,14,0,0,0,0,0,5,1,0,0,0,0,0,0,1,5,0,0,0,0,1,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0
89,4/1/2007,3,1,0,7,2,1,0,1,0,0,0,0,1,0,3,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
90,4/2/2007,14,3,1,4,2,5,0,1,3,7,3,0,0,1,0,3,3,1,0,0,0,2,0,0,0,2,1,0,0,1,3,2,1,4,0,0,0,1,0,3,1,0,1,0,0,0,1,1,0
91,4/3/2007,15,3,3,6,0,0,0,1,1,0,5,0,1,1,0,2,2,1,1,0,2,2,1,0,2,2,2,0,0,1,1,2,0,1,0,3,0,0,0,0,1,0,2,2,1,0,1,2,1
92,4/4/2007,25,2,4,7,4,4,0,2,1,4,5,1,1,1,3,1,4,2,0,0,1,0,1,0,3,1,1,1,2,0,14,2,0,1,0,1,0,2,0,4,5,1,2,1,3,0,0,3,1
93,4/5/2007,14,4,2,8,4,3,0,1,1,1,3,1,1,0,3,4,0,0,4,0,1,2,0,0,4,0,1,3,0,1,1,0,1,2,1,1,2,0,0,1,0,1,0,1,0,0,3,3,0
94,4/6/2007,17,0,1,1,2,1,0,2,0,1,6,0,0,0,0,0,7,3,0,0,0,1,0,0,1,8,1,1,0,1,0,1,1,0,0,0,0,0,0,2,2,1,2,0,0,0,1,7,0
95,4/7/2007,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
96,4/8/2007,4,0,0,1,1,1,0,0,2,0,3,0,0,0,0,1,2,0,4,0,1,0,1,0,1,8,0,0,1,1,0,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,5,0
97,4/9/2007,18,4,0,7,1,1,0,0,4,2,7,1,2,3,1,2,2,3,3,0,5,0,0,0,4,1,2,1,0,0,2,3,0,1,0,1,2,1,1,1,0,2,9,2,2,0,1,1,0
98,4/10/2007,14,0,1,8,3,1,0,0,2,0,0,1,1,1,2,0,2,0,2,0,1,1,1,0,2,2,1,0,0,1,2,0,0,0,0,3,0,2,0,4,0,0,0,1,2,0,0,1,0
99,4/11/2007,9,2,2,4,5,0,0,0,2,1,1,2,1,0,1,1,0,0,1,0,2,0,1,0,1,2,0,0,0,1,1,0,0,1,0,1,0,1,0,2,0,0,0,1,0,0,1,0,1
100,4/12/2007,19,3,2,15,2,1,0,1,3,3,5,1,0,1,1,2,2,1,0,0,2,0,0,0,1,1,1,0,0,1,1,0,1,0,0,2,0,1,0,3,3,1,0,0,0,2,1,2,0
101,4/13/2007,10,0,4,2,1,0,0,0,1,0,6,1,0,0,0,1,4,2,1,0,1,1,0,0,1,3,1,1,0,2,3,2,0,0,0,0,1,0,1,0,3,0,6,1,0,1,0,1,1
102,4/14/2007,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
103,4/15/2007,0,0,0,3,0,0,0,0,0,0,1,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0
104,4/16/2007,14,1,3,10,2,0,0,3,2,1,2,0,0,0,1,2,0,1,3,0,1,1,1,0,2,1,1,1,0,0,1,0,2,0,0,0,0,0,1,3,1,3,0,1,2,2,1,0,0
105,4/17/2007,10,0,1,6,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,2,1,0,2,2,1,3,0,0,0,4,0,1,0,0,0,10,1,1,1,1,0,0,0
106,4/18/2007,10,0,3,6,1,0,0,0,1,2,1,2,0,0,0,0,2,1,1,0,0,0,0,0,2,1,0,0,2,0,2,1,1,0,0,5,0,1,1,1,3,15,0,0,1,0,0,0,1
107,4/19/2007,10,0,0,4,0,1,0,0,2,4,4,1,0,0,0,0,4,2,0,0,5,1,0,0,4,3,0,0,0,0,1,0,0,0,0,1,0,0,2,1,2,12,4,2,0,0,0,0,0
108,4/20/2007,8,0,1,2,1,0,0,1,0,1,0,0,0,0,0,0,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,2,1,0,1,2,0,0
109,4/21/2007,2,1,1,1,1,0,0,0,1,3,1,0,1,0,0,2,0,1,0,0,2,1,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,5,0,1,1,0,0,0,1
110,4/22/2007,4,0,1,7,0,0,0,0,0,3,0,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,0,1,0,6,1,1,0,0,0,0,1
111,4/23/2007,8,0,1,6,1,0,0,0,1,4,0,1,0,1,3,0,2,1,1,0,6,0,0,0,2,5,0,2,0,0,1,0,1,0,0,0,0,0,1,3,0,10,0,3,1,0,0,0,0
112,4/24/2007,9,0,1,8,4,2,0,0,1,1,2,2,0,0,2,0,2,2,0,0,0,0,0,0,3,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,11,0,0,2,0,3,0,0
113,4/25/2007,20,0,0,6,2,0,0,1,2,0,3,2,0,2,3,1,0,3,3,0,1,0,0,0,3,1,0,1,1,0,3,1,1,0,0,1,0,0,1,2,1,3,0,0,2,2,1,1,0
114,4/26/2007,21,3,1,9,2,1,0,1,1,3,6,2,1,0,1,2,1,1,0,0,3,0,0,0,3,0,2,1,0,4,1,0,1,0,0,2,0,0,1,5,0,4,0,1,1,0,0,0,0
115,4/27/2007,6,1,1,6,4,1,0,1,0,2,1,1,0,2,1,2,0,1,2,0,1,0,1,0,2,1,0,1,1,1,2,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0
116,4/28/2007,2,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
117,4/29/2007,12,0,0,9,1,2,0,0,0,1,0,1,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,5,1,1,0,0,0,0,2,0,2,2,1,0,0,1,1,0,0,0
118,4/30/2007,14,1,3,10,6,0,0,2,0,0,0,1,0,0,2,1,3,1,1,0,4,0,0,0,2,4,1,0,1,2,1,1,0,1,1,1,0,2,2,0,1,4,1,2,0,1,1,1,1
119,5/1/2007,11,0,2,4,1,0,0,0,0,0,2,5,0,2,0,0,1,2,1,0,1,0,0,0,1,0,0,2,2,1,0,0,1,0,0,0,0,0,1,1,3,2,0,0,0,0,0,0,1
120,5/2/2007,19,0,1,6,0,1,0,0,1,0,3,1,0,1,1,0,0,1,0,0,2,0,0,0,1,5,0,0,0,0,1,1,0,0,0,0,0,1,1,1,2,1,1,1,0,1,0,1,0
121,5/3/2007,12,1,3,4,1,3,0,0,0,2,3,3,0,1,0,2,3,2,3,0,5,1,0,0,4,15,4,0,0,0,1,0,1,0,1,3,0,1,0,3,2,2,2,5,0,0,0,1,1
122,5/4/2007,16,2,0,10,2,4,0,3,3,1,5,2,3,2,2,2,3,1,1,0,1,1,0,0,1,1,1,1,2,1,1,0,5,1,0,0,2,3,0,13,0,1,1,1,1,0,0,1,1
123,5/5/2007,3,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0
124,5/6/2007,5,0,0,2,2,0,0,0,1,2,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
125,5/7/2007,11,1,2,10,1,2,0,3,3,2,2,2,2,3,1,0,4,2,0,0,2,0,0,0,0,1,3,4,0,3,0,0,2,1,0,0,0,1,0,6,1,0,1,1,1,0,0,0,0
126,5/8/2007,3,1,1,2,1,0,0,0,0,0,4,2,0,0,0,1,2,1,0,0,5,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,1
